,Year,Date,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
280,2001,2001-05-27,1480,Göteborg,5,0.0005,5,27,17.4,3.4
281,2001,2001-05-27,1462,Lilla Edet,150,0.015,5,27,23.049999999999997,5.0
282,2001,2001-06-01,1882,Askersund,1,0.0001,6,1,8.977777777777778,2.888888888888889
283,2001,2001-06-01,2104,Hofors,20,0.002,6,1,15.85,3.0
284,2001,2001-06-01,2181,Sandviken,20,0.002,6,1,15.940000000000001,3.2
285,2001,2001-06-02,126,Huddinge,1,0.0001,6,2,13.1,3.0
286,2001,2001-06-03,1490,Borås,2,0.0002,6,3,0.13333333333333336,1.0
287,2001,2001-06-03,182,Nacka,2,0.0002,6,3,10.5,3.0
288,2001,2001-06-04,488,Trosa,2,0.0002,6,4,5.0,2.0
289,2001,2001-06-04,883,Västervik,5000,0.5,6,4,3.2363636363636363,1.7272727272727273
290,2001,2001-06-04,127,Botkyrka,300,0.03,6,4,13.3,3.0
291,2001,2001-06-05,181,Södertälje,350,0.035,6,5,15.1,3.4
292,2001,2001-06-05,580,Linköping,10,0.001,6,5,13.775,3.0
293,2001,2001-06-05,2425,Dorotea,300,0.03,6,5,4.916,2.0
294,2001,2001-06-05,1781,Kristinehamn,400,0.04,6,5,9.436363636363636,3.0
295,2001,2001-06-06,2080,Falun,600,0.06,6,6,17.378947368421052,3.736842105263158
296,2001,2001-06-07,180,Stockholm,40,0.004,6,7,22.549999999999997,5.0
297,2001,2001-06-08,180,Stockholm,1,0.0001,6,8,25.25,5.0
298,2001,2001-06-08,580,Linköping,10,0.001,6,8,7.341666666666666,2.4166666666666665
299,2001,2001-06-08,2180,Gävle,50,0.005,6,8,21.93125,4.3125
300,2001,2001-06-09,180,Stockholm,1,0.0001,6,9,14.350000000000001,3.0
301,2001,2001-06-09,180,Stockholm,5,0.0005,6,9,14.350000000000001,3.0
302,2001,2001-06-10,126,Huddinge,4,0.0004,6,10,14.5,3.0
303,2001,2001-06-10,126,Huddinge,1,0.0001,6,10,14.5,3.0
304,2001,2001-06-10,1233,Vellinge,1,0.0001,6,10,4.833333333333333,2.0
305,2001,2001-06-11,580,Linköping,50,0.005,6,11,13.725,3.0
306,2001,2001-06-12,180,Stockholm,50,0.005,6,12,13.75,3.0
307,2001,2001-06-13,1382,Falkenberg,1,0.0001,6,13,3.12,2.0
308,2001,2001-06-13,1482,Kungälv,6,0.0006,6,13,4.279999999999999,2.0
309,2001,2001-06-14,180,Stockholm,1,0.0001,6,14,20.299999999999997,4.0
310,2001,2001-06-14,180,Stockholm,1500,0.15,6,14,20.299999999999997,4.0
